category,job_title,skills
Tech,Software Engineer,"data structures, algorithms, object-oriented programming, design patterns, git, code review, unit testing, integration testing, continuous integration, continuous delivery, rest apis, microservices, sql, nosql, caching, linux"
Tech,Backend Developer,"node.js, express, python, django, flask, java, spring boot, .net core, rest, graphql, sql, postgres, mongodb, redis, docker, authentication, authorization, message queues"
Tech,Frontend Developer,"html, css, javascript, typescript, react, redux, vue, vuex, angular, responsive design, web accessibility, webpack, vite, jest, testing library, performance optimization"
Tech,Full Stack Developer,"react, next.js, node.js, express, restful apis, graphql, postgres, mongodb, docker, kubernetes, ci/cd, testing, oauth, jwt, cloud deployment, serverless"
Tech,DevOps Engineer,"linux, bash, docker, kubernetes, helm, terraform, ansible, jenkins, github actions, monitoring, logging, prometheus, grafana, aws, azure, gcp, networking, load balancing"
Tech,Site Reliability Engineer,"sre, slis, slos, error budgets, incident response, on-call, observability, prometheus, grafana, elasticsearch, kibana, chaos engineering, capacity planning, reliability, automation, python, golang"
Tech,Data Scientist,"python, pandas, numpy, matplotlib, seaborn, scikit-learn, statistics, hypothesis testing, feature engineering, model evaluation, regression, classification, clustering, time series, notebooks, sql, ml ops"
Tech,Data Analyst,"excel, sql, joins, data cleaning, data visualization, tableau, power bi, matplotlib, seaborn, statistics, dashboards, reporting, storytelling, etl, pivot tables, kpis"
Tech,Machine Learning Engineer,"python, scikit-learn, tensorflow, pytorch, model training, hyperparameter tuning, model serving, feature stores, mlflow, kubeflow, data pipelines, docker, kubernetes, monitoring, drift detection, ab testing"
Tech,AI Engineer,"prompt engineering, nlp, transformers, embeddings, vector databases, langchain, rag, model evaluation, hallucination mitigation, openai apis, google gemini, groq, cohere, guardrails, content moderation, latency optimization"
Tech,MLOps Engineer,"mlflow, kubeflow, sagemaker, vertex ai, azure ml, docker, kubernetes, ci/cd, feature store, model registry, canary deployment, monitoring, data drift, model drift, airflow, dagster"
Tech,Data Engineer,"python, pyspark, spark, hadoop, hive, airflow, kafka, kinesis, glue, bigquery, redshift, snowflake, etl, dbt, data modeling, orchestration, s3, parquet"
Tech,Cloud Engineer,"aws, azure, gcp, vpc, iam, ec2, s3, lambda, api gateway, cloudwatch, cloudformation, terraform, networking, dns, tls, load balancer, autoscaling"
Tech,Cloud Solutions Architect,"solution design, reference architectures, well-architected, cost optimization, security, scalability, high availability, multi-region, hybrid cloud, migration, landing zone, governance, devops, finops"
Tech,Security Engineer,"threat modeling, secure sdLC, code analysis, dependency scanning, vulnerability management, siem, ids/ips, waf, zero trust, encryption, key management, oauth, oidc, secrets management, sso, compliance"
Tech,Cybersecurity Analyst,"siem, soc, incident response, malware analysis, phish analysis, mitre att&ck, threat hunting, log analysis, forensics, vulnerability scanning, risk assessment, compliance, gdpr, hipaa"
Tech,Penetration Tester,"reconnaissance, vulnerability scanning, exploit development, metasploit, burp suite, nmap, wireshark, owasp top 10, web app testing, api testing, social engineering, reporting, remediation guidance"
Tech,Security Architect,"security architecture, zero trust, network segmentation, iam, encryption, key rotation, certificate management, threat modeling, cloud security, compliance, risk management, dr & bc, sso, mfa"
Tech,Mobile Developer (Android),"kotlin, java, android sdk, jetpack compose, mvvm, retrofit, room, coroutines, dependency injection, unit testing, ui testing, play store, performance, offline first, push notifications"
Tech,Mobile Developer (iOS),"swift, objective-c, swiftui, uikit, combine, core data, alamofire, mvvm, unit testing, ui testing, app store, keychain, push notifications, widgets, performance"
Tech,QA Engineer,"test planning, test cases, manual testing, defect tracking, jira, regression testing, exploratory testing, smoke testing, sanity testing, test reports, agile, stlc, bug lifecycle, acceptance testing"
Tech,Automation Test Engineer,"selenium, playwright, cypress, webdriver, java, python, testng, junit, bdd, cucumber, page object model, api testing, postman, newman, ci/cd, allure reports"
Tech,Performance Test Engineer,"jmeter, gatling, locust, k6, test planning, workload modeling, ramp up, throughput, response time, bottleneck analysis, profiling, tuning, caching, capacity planning"
